from,to,suggested_from_coded,suggested_distance
سه راه شریعتی,میدان چهار باغ,2058,Unknown
میدان طهرانی مقدم,میدان چهار باغ,2059,Unknown
میدان شاهد,میدان دوم نیروی هوایی,2060,Unknown
میدان چهار باغ,میدان محمدیه,2061,Unknown
میدان هفت حوض,میدان شهیدان یاضی,2062,Unknown
میدان استاد معین,میدان شهیدان یاضی,2063,Unknown
میدان استاد معین,بوستان فرهنگسرای اشراق,2063,Unknown
میدان شهیدان ریاضی,میدان چهار باغ,2064,Unknown
بوستان والفجر,میدان دوم نیروی هوایی,2065,Unknown
میدان اتریش,میدان چهار باغ,2066,Unknown
میدان دفاع مقدس,میدان شهرداری,2067,Unknown
میدان بهارستان,میدان پلیس مهرشهر,2068,Unknown
میدان بهارستان,میدان کاج تهران,2068,Unknown
ایستگاه مترو علامه جعفری,میدان والفجر,2069,Unknown
ایستگاه مترو طرشت,میدان تلو,2070,Unknown
ایستگاه مترو علامه جعفری,میدان چهار باغ,2069,Unknown
میدان الغدیر,میدان دوم نیروی هوایی,2071,Unknown
میدان شورایاری,میدان دوم نیروی هوایی,2072,Unknown
میدان شهدای نیروی دریایی,میدان مادر,2073,Unknown
آزاد,آزاد,2074,Unknown
