from,to
سه راه شریعتی,میدان چهار باغ
میدان طهرانی مقدم,میدان چهار باغ
میدان شاهد,میدان دوم نیروی هوایی
میدان چهار باغ,میدان محمدیه
میدان هفت حوض,میدان شهیدان یاضی
میدان استاد معین,میدان شهیدان یاضی
میدان استاد معین,بوستان فرهنگسرای اشراق
میدان شهیدان ریاضی,میدان چهار باغ
بوستان والفجر,میدان دوم نیروی هوایی
میدان اتریش,میدان چهار باغ
میدان دفاع مقدس,میدان شهرداری
میدان بهارستان,میدان پلیس مهرشهر
میدان بهارستان,میدان کاج تهران
ایستگاه مترو علامه جعفری,میدان والفجر
ایستگاه مترو طرشت,میدان تلو
ایستگاه مترو علامه جعفری,میدان چهار باغ
میدان الغدیر,میدان دوم نیروی هوایی
میدان شورایاری,میدان دوم نیروی هوایی
میدان شهدای نیروی دریایی,میدان مادر
آزاد,آزاد
